Resource Identifier,Title,Alternative Title,Creator,Image,Weblog,Description,Subject,Date,Type,Format,Source,Language,Contributor,Annotates,Access Rights
1998.1.5,Q-Vo-Way,,Gaspar Enriquez,https://s3.amazonaws.com/pastperfectonline/images/museum_676/006/199815-2.jpg,,"Gaspar Enriquez Q-Vo-Way, 1998 Serigraph on paper, 22” x 30"" Mexic-Arte Museum Collection 1998.1.5 Coronado Studios, Austin, TX Serie Project V ""The title of the work Q-Vo-Way is a play on words from the familiar Chicano slang greeting “Q vo wey,” or “Q vo guey,” meaning “what’s up, buddy” or simply “what’s happening”. This image deals directly from daily experiences with the people I know, individuals who remind me of friends and people I grew up with. It is not a crusade to change lives or lifestyles but a record of experiences, ideas and feelings about a subculture that has endured in the Mexican American life since the Second World War. This lifestyle has been passed from generation to generation. It has survived wars, prisons, and various other elements. My portrayal of these individuals and their lifestyle is neither positive or negative. My interpretation is subjective and with the viewers, interpretations depended on his or her experience with this lifestyle."" – Gaspar Enriquez Change COLLECTION after Juan Sandoval Exhbit. 3/4/2021- AAA Previously: Serie Project V. This is Mexic-Arte's Piece, being used to Juan Sandoval Exhibit in lieu of his edition. 19/36. ""This image deals directly from daily experiences with the people I know, individuals who remind me of friends and people I grew up with. It is not a crusade to change lives or lifestyles but a record of experiences, ideas and feelings about a subculture that has endured in the Mexican-American life since the Second World War. This lifestyle has been passed from generation to generation. It has survived wars, prisons and various other elements. My portrayal of these individuals and their lifestyle is neither positive or negative. My interpretation is subjective and with the viewers, interpretations depended on his or her experience with this lifestyle.""","Identity Heritage Portraiture Border. Serigraph. Print, Screen",1998,,,Juan Antonio Sandoval Jr. Collection,,Mexic-Arte Museum (MAM),,"Mexic-Arte Museum has created and maintains websites and other digital properties to support its mission to enrich the community through education programs, exhibitions, and interpretations of the collection. These Websites include https://mexic-artemuseum.org/ and https://mexicartemuseum.pastperfectonline.com/. This does not mean that Mexic-Arte Museum owns each component of the compilation, some of which may be owned by others and used with their permission or used in accordance with applicable law (e.g., fair use). Mexic-Arte Museum is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. Most items in the collection are protected by copyright and/or related rights. Private study, educational, and non-commercial use of digital images from our websites is permitted, with attribution to the Mexic-Arte Museum. Commercial use of any materials on the Mexic-Arte Museum website is expressly forbidden. Users who wish to obtain permission for publication, display, distribution, or other uses of these materials should contact the rights holder(s)."
2020.2.1.1,Starving,,Pavel Acevedo,https://s3.amazonaws.com/pastperfectonline/images/museum_676/008/2020211-3.jpg,,"Pavel Acevedo Starving, ca. 2010 Watercolor and ink on paper, 8"" x 9"" Mexic-Arte Museum Collection 2020.2.1.1 Gift of Juan Antonio Sandoval Jr. Porttrait of a male profile. ""My formal art studies began at the Rufino Tamayo Plastic Arts Workshop in Oaxaca City while I was an assistant and student of the Lithography studio. In 2006, I enrolled to complete my Bachelor’s Degree in visual arts at”La Escuela de Bellas Artes/ Fine Arts School of Oaxaca where I studied under the guidance of prolific artists Shinzaburo Takeda and Raul Herrera. During this time I completed my education by taking workshops with artists such as Isis Rodriguez, Marietta Bernstorff, Inma Coll and Elvia Esparza. I was also an assistant in the print studios of Artist Demian Flores (Taller Grafica Actual) and Alejandro Santiago (Taller la Huella). In 2010 I moved to Riverside, California and started getting involved in printmaking projects with a social justice and educational awareness in communities of color throughout California. In 2015, I opened my printmaking studio by collaboration with “The Desert Triangle Print Carpeta” located provisionally in Riverside. In 2017, I was commissioned by the Wignall Contemporary Art Museum to elaborate a permanent mural, which is located in Southern California. My artwork has been exhibited in different group shows between Mexico and the U.S. in public and private institutions as well individually: Rufino Tamayo Worskhop (Mx); Casa de la Ciudad Oaxaca (Mx); Museo de Los Pintores Oaxaquenos (Mx); Arte Cocodrilo (Mx); Plan B (Mx); Riverside Art Museum (U.S.); Mission Cultural Center (San Francisco, CA), Museum of Art El Paso(U.S.); The Mexic-Arte Museum (U.S.); Comalito Collective (US); College of the Canyons (US)."" - Pavel Acevedo When he moved to California Male side portrait, Note on back: Thank you for your purchase, Juan agradezco tu aporte en mi carrera. Pavel Acerada",Portrait Border. Watercolor and ink. Painting,2010,,,Juan Antonio Sandoval Jr. Collection,,Mexic-Arte Museum (MAM),,"Mexic-Arte Museum has created and maintains websites and other digital properties to support its mission to enrich the community through education programs, exhibitions, and interpretations of the collection. These Websites include https://mexic-artemuseum.org/ and https://mexicartemuseum.pastperfectonline.com/. This does not mean that Mexic-Arte Museum owns each component of the compilation, some of which may be owned by others and used with their permission or used in accordance with applicable law (e.g., fair use). Mexic-Arte Museum is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. Most items in the collection are protected by copyright and/or related rights. Private study, educational, and non-commercial use of digital images from our websites is permitted, with attribution to the Mexic-Arte Museum. Commercial use of any materials on the Mexic-Arte Museum website is expressly forbidden. Users who wish to obtain permission for publication, display, distribution, or other uses of these materials should contact the rights holder(s)."
2020.2.4.1,Soy un Pobre Vendadito . . .,,Francisco Delgado,https://s3.amazonaws.com/pastperfectonline/images/museum_676/008/2020241-3.jpg,,"Francisco Delgado I’m a Poor Deer, Soy un Pobre Venadito . . ., 2011 Acrylic and color pencil on paper, 8.5"" x 11"" Mexic-Arte Museum Collection 2020.2.4.1 Gift of Juan Antonio Sandoval Jr. Wounded deer with male head and cacti on a treadmill. A banner reading ""Soy un pobre vendadito que...la serancia como no [...] bajo noche[...] tus brazos..."" Francisco Delgado was born on November 3, 1974 in Ciudad Juárez, and grew up in El Paso’s Segundo Barrio. He received his Master of Fine Arts from the Yale School of Art. His Bordeño artworks are informed by the social and cultural struggles inherent to life on the Mexican and United States border. His artwork addresses issues of identity, race, cultural traditions, and government policies that affect migration and immigrants. In his own words, Delgado says “I am a visual artist with an artistic focus on social issues”. He visually represents the history of his community and creates a dialogue for social change. Often using dark humor or satire to depict his narratives, his artwork highlights the struggles of underrepresented people along the border. A prolific artist, Delgado works in painting, drawing, printmaking, and has also produced community murals. His works have been published in books, exhibited in national and international art exhibitions and community institutions. Francisco currently resides, teaches and creates artwork in El Paso.",Satire Border Treadmill Deer Arrows Cactus Antlers Banner. Acrylic and color pencil. Drawing,2011,,,Juan Antonio Sandoval Jr. Collection,,Mexic-Arte Museum (MAM),,"Mexic-Arte Museum has created and maintains websites and other digital properties to support its mission to enrich the community through education programs, exhibitions, and interpretations of the collection. These Websites include https://mexic-artemuseum.org/ and https://mexicartemuseum.pastperfectonline.com/. This does not mean that Mexic-Arte Museum owns each component of the compilation, some of which may be owned by others and used with their permission or used in accordance with applicable law (e.g., fair use). Mexic-Arte Museum is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. Most items in the collection are protected by copyright and/or related rights. Private study, educational, and non-commercial use of digital images from our websites is permitted, with attribution to the Mexic-Arte Museum. Commercial use of any materials on the Mexic-Arte Museum website is expressly forbidden. Users who wish to obtain permission for publication, display, distribution, or other uses of these materials should contact the rights holder(s)."
2020.2.4.3,Cargador de Cultura,,Francisco Delgado,https://s3.amazonaws.com/pastperfectonline/images/museum_676/008/2020243-3.jpg,,"Francisco Delgado Cargador de Cultura, 2019 Intaglio on paper, 11.25"" x 14"" Mexic-Arte Museum Collection 2020.2.4.3 Gift of Juan Antonio Sandoval Jr. Horned Toad Prints, El Paso, TX Crocodiles on top of a masked man in El Paso. Francisco Delgado was born on November 3, 1974 in Ciudad Juárez, and grew up in El Paso’s Segundo Barrio. He received his Master of Fine Arts from the Yale School of Art. His Bordeño artworks are informed by the social and cultural struggles inherent to life on the Mexican and United States border. His artwork addresses issues of identity, race, cultural traditions, and government policies that affect migration and immigrants. In his own words, Delgado says “I am a visual artist with an artistic focus on social issues”. He visually represents the history of his community and creates a dialogue for social change. Often using dark humor or satire to depict his narratives, his artwork highlights the struggles of underrepresented people along the border. A prolific artist, Delgado works in painting, drawing, printmaking, and has also produced community murals. His works have been published in books, exhibited in national and international art exhibitions and community institutions. Francisco currently resides, teaches and creates artwork in El Paso.",Border Borderland Survival Tradition El Paso Luis Jimenez Crocodile Alligator Wrestle Tejano. Intaglio. Print,2019,,,Juan Antonio Sandoval Jr. Collection,,Mexic-Arte Museum (MAM),,"Mexic-Arte Museum has created and maintains websites and other digital properties to support its mission to enrich the community through education programs, exhibitions, and interpretations of the collection. These Websites include https://mexic-artemuseum.org/ and https://mexicartemuseum.pastperfectonline.com/. This does not mean that Mexic-Arte Museum owns each component of the compilation, some of which may be owned by others and used with their permission or used in accordance with applicable law (e.g., fair use). Mexic-Arte Museum is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. Most items in the collection are protected by copyright and/or related rights. Private study, educational, and non-commercial use of digital images from our websites is permitted, with attribution to the Mexic-Arte Museum. Commercial use of any materials on the Mexic-Arte Museum website is expressly forbidden. Users who wish to obtain permission for publication, display, distribution, or other uses of these materials should contact the rights holder(s)."
2020.2.26.1,Untitled,,Marta Arat,https://s3.amazonaws.com/pastperfectonline/images/museum_676/007/20202261.jpg,,"Marta Arat Untitled, 1980 Graphite on paper, 14"" x 16"" Mexic-Arte Museum Permanent Collection 2020.2.26.1 Gift of Juan Antonio Sandoval Jr. Portrait of elderly woman wearing a sun hat. Artist Marta Arat (1932-2002) was born in Ciudad Juarez, Chihuahua, Mexico. She spent most of her adult life along the El Paso/Juarez border, where she studied art at The University of Texas at El Paso. Arat painted her social and spiritual self and created work that experimented with color while mirroring a time and place that reflects the region of the Chihuahuan borderlands. Arat’s work presents images taken from the beauty and diversity of people’s hopes, aspirations and dreams. Marta Arat painted a full spectrum of women, with the belief that women along the US/Mexico border are often overlooked though they are a historic example of life and change. She was a close friend of the El Paso collector Juan Sandoval. Arat was active in the Soñando Juntos organization, an immigrant youth-led organization that empowers borderland immigrant youth through civic engagement. Locally, her first exhibition Life in the Barranca Del Cobre in 1980 was followed by her first group exhibition La Mujer y Su Arte in 1984. Arat’s artwork has been published in magazines, books, and commercially. From Chihuahua, Mexico throughout Texas and to other parts of the region, she has exhibited in museums, galleries and university libraries. Her paintings can be found in many private, corporate, and public museum collections throughout Mexico and the United States.",Elderly Worker Sun Hat Farmer Woman Border Indigenous Tarahumara. Graphite. Drawing,1980,,,Juan Antonio Sandoval Jr. Collection,,Mexic-Arte Museum (MAM),,"Mexic-Arte Museum has created and maintains websites and other digital properties to support its mission to enrich the community through education programs, exhibitions, and interpretations of the collection. These Websites include https://mexic-artemuseum.org/ and https://mexicartemuseum.pastperfectonline.com/. This does not mean that Mexic-Arte Museum owns each component of the compilation, some of which may be owned by others and used with their permission or used in accordance with applicable law (e.g., fair use). Mexic-Arte Museum is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. Most items in the collection are protected by copyright and/or related rights. Private study, educational, and non-commercial use of digital images from our websites is permitted, with attribution to the Mexic-Arte Museum. Commercial use of any materials on the Mexic-Arte Museum website is expressly forbidden. Users who wish to obtain permission for publication, display, distribution, or other uses of these materials should contact the rights holder(s)."
2020.2.26.2,Governor of the Tarahumaras,,Marta Arat,https://s3.amazonaws.com/pastperfectonline/images/museum_676/007/20202262.jpg,,"Marta Arat Governor of the Tarahumaras, 1980 Etching on paper, 20"" x 13"" Mexic-Arte Museum Permanent Collection 2020.2.26.2 Gift of Juan Antonio Sandoval Jr. Portrait of Governor of the Tarahumaras. Artist Marta Arat (1932-2002) was born in Ciudad Juarez, Chihuahua, Mexico. She spent most of her adult life along the El Paso/Juarez border, where she studied art at The University of Texas at El Paso. Arat painted her social and spiritual self and created work that experimented with color while mirroring a time and place that reflects the region of the Chihuahuan borderlands. Arat’s work presents images taken from the beauty and diversity of people’s hopes, aspirations, and dreams. Marta Arat painted a full spectrum of women, with the belief that women along the US/Mexico border are often overlooked though they are a historic example of life and change. She was a close friend of the El Paso collector Juan Sandoval. Arat was active in the Soñando Juntos organization, an immigrant youth-led organization that empowers borderland immigrant youth through civic engagement. Locally, her first exhibition ""Life in the Barranca Del Cobre"" in 1980 was followed by her first group exhibition ""La Mujer y Su Arte"" in 1984. Arat’s artwork has been published in magazines, books, and commercially. From Chihuahua, Mexico throughout Texas and to other parts of the region, she has exhibited in museums, galleries and university libraries. Her paintings can be found in many private, corporate, and public museum collections throughout Mexico and the United States. Portrait of Governor of the Tarahumaras in foreground, with flat landscape and wooden house in background. Signed bottom right corner, other # : 11/55.",Indigenous Worker Governor Farmer Elderly Nature Leader Border Tarahumara. Intaglio. Print,1980,,,Juan Antonio Sandoval Jr. Collection,,Mexic-Arte Museum (MAM),,"Mexic-Arte Museum has created and maintains websites and other digital properties to support its mission to enrich the community through education programs, exhibitions, and interpretations of the collection. These Websites include https://mexic-artemuseum.org/ and https://mexicartemuseum.pastperfectonline.com/. This does not mean that Mexic-Arte Museum owns each component of the compilation, some of which may be owned by others and used with their permission or used in accordance with applicable law (e.g., fair use). Mexic-Arte Museum is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. Most items in the collection are protected by copyright and/or related rights. Private study, educational, and non-commercial use of digital images from our websites is permitted, with attribution to the Mexic-Arte Museum. Commercial use of any materials on the Mexic-Arte Museum website is expressly forbidden. Users who wish to obtain permission for publication, display, distribution, or other uses of these materials should contact the rights holder(s)."
2020.2.52.1,No Nos Queda Nada Que Perder Mas Que Nuestra Miseria,,Malaquías Montoya,https://s3.amazonaws.com/pastperfectonline/images/museum_676/007/20202521.jpg,,"Malaquías Montoya No nos quedan nada que perder mas que nuestra miseria, 1983 Serigraph on paper, 23"" x 17.5” Mexic-Arte Museum Collection 2020.2.179.4 Gift of Juan Antonio Sandoval Jr. La Raza Graphic Center, San Francisco, CA Cover of "" La Raza Graphic Center's 1983 Political Art Calendar."" Two men behind bars. ""No Nos Queda Nada Que Perder Mas Que Nuestra Miseria"" written above them. One of the best-known artist-activists of the Chicano Movement (El Movimiento), Malaquías Montoya was born in Albuquerque, New Mexico in 1938. He was raised by a single mother in a family of migrant workers who worked in the fields of central California. He joined the U.S. Marine Corps and attended the University of California at Berkeley, through the G.I. Bill. Montoya has taught at a number of universities, and has held a professorship at The University of California, Davis, since 1989. Montoya teaches both in the Department of Art, and the Department of Chicanx Studies. A painter and prolific silk screen artist, Montoya is famous for making artworks to support the United Farm Workers (UFW) and the struggle for labor rights to protect migrant farm workers. In 1968, Montoya founded the Mexican American Liberation Art Front in Sacramento. Later, in the early 1970s, he joined his brother Jose and other artists to form the Royal Chicano Air Force. Members painted murals addressing social justice, made banners and props for UFW marches, led poetry circles, and operated a bookstore. Malaquías Montoya also promoted a new awareness concerning the Pachuco and the Zoot Suit Riots, during which U.S. servicemen targeted and assaulted Pachucos wearing zoot suits in Los Angeles, June 3-8, 1943. Montoya combined political protest with Chicano art, developing a program of cultural resistance and political consciousness in the Chicano pueblo. Through his art, activism, and teaching, Montoya has inspired Chicanx people to demand equal opportunity in education and employment, and to resist societal discrimination by embracing their unique ethnic identity.",Political Border Activism Misery. Serigraph. Print,1983,,,Juan Antonio Sandoval Jr. Collection,,Mexic-Arte Museum (MAM),,"Mexic-Arte Museum has created and maintains websites and other digital properties to support its mission to enrich the community through education programs, exhibitions, and interpretations of the collection. These Websites include https://mexic-artemuseum.org/ and https://mexicartemuseum.pastperfectonline.com/. This does not mean that Mexic-Arte Museum owns each component of the compilation, some of which may be owned by others and used with their permission or used in accordance with applicable law (e.g., fair use). Mexic-Arte Museum is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. Most items in the collection are protected by copyright and/or related rights. Private study, educational, and non-commercial use of digital images from our websites is permitted, with attribution to the Mexic-Arte Museum. Commercial use of any materials on the Mexic-Arte Museum website is expressly forbidden. Users who wish to obtain permission for publication, display, distribution, or other uses of these materials should contact the rights holder(s)."
2020.2.52.7,Señor Reagan?/Cual es mi futuro?,,Emmanuel Montoya,https://s3.amazonaws.com/pastperfectonline/images/museum_676/007/20202527.jpg,,"Emmanuel Montoya Señor Reagan?/Cual es mi futuro? , 1982 Serigraph on paper, 23"" x 17.5"" Mexic-Arte Museum Collection 2020.2.52.7 Gift of Juan Antonio Sandoval Jr. La Raza Graphic Center, San Francisco, CA Part of ""La Raza Graphic Center's 1983 Political Calendar"". Novemeber/December 1983 CalendarYoung girl with cartoon Reagan in her eyes and ""Señor Reagan ? Cual es mi futuro?"" written in red. Young girl with "" Señor Reagan ? Cual es mi futuro?"" written and cartoon Reagan in her eyes, print # : 169/200, Novemeber/December calendar",Political Border. Serigraph. Print,1982,,,Juan Antonio Sandoval Jr. Collection,,Mexic-Arte Museum (MAM),,"Mexic-Arte Museum has created and maintains websites and other digital properties to support its mission to enrich the community through education programs, exhibitions, and interpretations of the collection. These Websites include https://mexic-artemuseum.org/ and https://mexicartemuseum.pastperfectonline.com/. This does not mean that Mexic-Arte Museum owns each component of the compilation, some of which may be owned by others and used with their permission or used in accordance with applicable law (e.g., fair use). Mexic-Arte Museum is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. Most items in the collection are protected by copyright and/or related rights. Private study, educational, and non-commercial use of digital images from our websites is permitted, with attribution to the Mexic-Arte Museum. Commercial use of any materials on the Mexic-Arte Museum website is expressly forbidden. Users who wish to obtain permission for publication, display, distribution, or other uses of these materials should contact the rights holder(s)."
2020.2.53.1,The Don Juan de Oñate Expedition at Paso del Norte,,José Cisneros,https://s3.amazonaws.com/pastperfectonline/images/museum_676/007/20202531.jpg,,"José Cisneros The Don Juan de Oñate Expedition at Paso del Norte, 1995 Offset lithograph on paper, 17.5"" x 23"" Mexic-Arte Museum Permanent Collection 2020.2.53.1 Gift of Juan Antonio Sandoval Jr. El Paso artist José Cisneros created this print interpreting the Don Juan de Oñate expedition at El Paso del Norte. Tasked with establishing a colony in New Mexico after scouts saw the Gipuy (Kewa Pueblo) and Acoma people living stationary, agricultural based lives, Spanish conquistador Oñate (1550 – 1630) led his army, settlers, missionaries, and farm animals in 1598 through the challenging Chihuahuan Desert, searching for a passage to New Mexico. After four months, Oñate discovered the Rio Grande and established headquarters at El Paso del Norte. He organized a mass and ceremony, el toma, to claim the lands for Spain, celebrating their survival, and giving thanks to God. The mass and the feast are thought to be the first Thanksgiving ceremony in North America. Oñate marched through El Paso del Norte towards New Mexico, invading pueblos of the Gipuy (or Kewa Pueblo) along the way. Upon reaching the area of modern day Santa Fe, he briefly lived in peace with the Acoma people before his nephew, Juan de Zaldívar, led a coup against the Acoma People, pillaging food and prisoners in his wake. Zaldívar was killed in the struggle. Oñate retaliated in January of 1599 during what is known as the Acoma Massacre. An estimated 800-1,000 Acoma were murdered, while another 500 were punished through extreme mutilation, and sold into slavery. News of Oñate’s atrocities reached the Spanish crown, and King Phillip II banished Oñate from New Mexico, and Mexico. José Cisneros (1910-2009) has been described as a leading historical illustrator of the Southwest. While he was a painter, wood carver, writer and muralist, his primary focus was recording the history of the Southwest border region through his illustrations. Born in Villa Ocampo, Mexico, José eventually moved to Juarez with his family in 1925 where he obtained a school passport to attend the Lydia Patterson Institute in El Paso, Texas. While enrolled in a painting class, he discovered during one of the lessons that he was color blind. Two years later, he was forced to quit school to help financially support his family. He procured a position at El Paso’s White House Department Store, where he designed displays and began to draw on Poster Board. He introduced himself to artist Tom Lea, which led to an invitation for Cisneros to exhibit his work at the El Paso Public Library in 1938. His work was so popular that his exhibit was extended for two weeks, and was eventually exhibited in Juarez. Later, he was invited to illustrate many books and printing projects through a long-term collaboration with Carl Hertzog, the famous typographer, book designer, and publisher. During this time, he designed the coat of arms for the city of Juarez, and eventually the seal for The University of Texas at El Paso. Among his many honors are the Americanism Award given to him by the Daughters of the American Revolution; he was knighted by Pope John Paul II in 1990, and was given the Order of Civil Merit by King Juan Carlos I of Spain in 1991. In 2001, he received the National Humanities Medal presented by President George W. Bush. José Cisneros remained a lifelong resident of El Paso, Texas up until his death on November 14, 2009. Commerical offset print with artist signature in the bottom left, the image is of Don Juan de Onate standing with farm animals and farmers",Border El Paso. Offset lithograph. Print,1995,,,Juan Antonio Sandoval Jr. Collection,,Mexic-Arte Museum (MAM),,"Mexic-Arte Museum has created and maintains websites and other digital properties to support its mission to enrich the community through education programs, exhibitions, and interpretations of the collection. These Websites include https://mexic-artemuseum.org/ and https://mexicartemuseum.pastperfectonline.com/. This does not mean that Mexic-Arte Museum owns each component of the compilation, some of which may be owned by others and used with their permission or used in accordance with applicable law (e.g., fair use). Mexic-Arte Museum is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. Most items in the collection are protected by copyright and/or related rights. Private study, educational, and non-commercial use of digital images from our websites is permitted, with attribution to the Mexic-Arte Museum. Commercial use of any materials on the Mexic-Arte Museum website is expressly forbidden. Users who wish to obtain permission for publication, display, distribution, or other uses of these materials should contact the rights holder(s)."
2020.2.66.1,Paso Del Norte,,Richard Glass,https://s3.amazonaws.com/pastperfectonline/images/museum_676/007/20202661.jpg,,"Richard Glass Northern Passage, Paso Del Norte, 1985 Graphite on paper, 23.5"" x 18"" Mexic-Arte Museum Collection 2020.2.66.1 Gift of Juan Antonio Sandoval Jr. Conquistdor with a sword pointing north, copyright 1985. Conquistdor with a sword pointing north, copyright 1985. Signed bottom right corner "" R.Glass"" "" Sketch for larger work"" - ""Paso Del Norte"" Savannah made a repair on the back- Gum hinging tape - Haiku reversible adhesive",Border. Graphite. Drawing,1985,,,Juan Antonio Sandoval Jr. Collection,,Mexic-Arte Museum (MAM),,"Mexic-Arte Museum has created and maintains websites and other digital properties to support its mission to enrich the community through education programs, exhibitions, and interpretations of the collection. These Websites include https://mexic-artemuseum.org/ and https://mexicartemuseum.pastperfectonline.com/. This does not mean that Mexic-Arte Museum owns each component of the compilation, some of which may be owned by others and used with their permission or used in accordance with applicable law (e.g., fair use). Mexic-Arte Museum is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. Most items in the collection are protected by copyright and/or related rights. Private study, educational, and non-commercial use of digital images from our websites is permitted, with attribution to the Mexic-Arte Museum. Commercial use of any materials on the Mexic-Arte Museum website is expressly forbidden. Users who wish to obtain permission for publication, display, distribution, or other uses of these materials should contact the rights holder(s)."
