Title,Alternative Title,Creator,Image,Weblog,Description,Add to Description 1,Add to Description 2,Subject,Date,Type,Format,Source,Language,Contributor,Annotates,Access Rights
Untitled,Sin título,Carlos Cortéz,https://nationalmuseumofmexicanart.org/img/97f11d95-a767-41a8-98a3-b1d56ad00344/1990.8_web.png,https://nationalmuseumofmexicanart.org/artworks/untitled-printed-from-miners-bolivia-block,"Woodcut, N.N. -  xilografía, S.N. 15 3/4"" x 12 1/2"" (paper size).",printed from Miners / Bolivia block,impreso del bloque Mineros / Bolivia,Bolivia|labor|miners|labor movement|labor rights|workers|mining|miner|men|Chicago artist,1988,,,"NMMA Permanent Collection, 1990.8, Gift of the artist",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
Lágrimas entre sollozos,Tears Between Sighs,Tomás Bringas,https://nationalmuseumofmexicanart.org/img/8ae30510-c9a3-499f-aadb-90fbda61a6cc/1991.1B_web.png,https://nationalmuseumofmexicanart.org/artworks/lágrimas-entre-sollozos-de-la-carpeta-el-canto-del-papel,"Etching and aquatint, 17/100 -  aguafuerte y aguatinta, 17/100. 15 1/4"" x  11 3/8"" (paper size).",de la carpeta El canto del papel,from The Song of Paper portfolio,Religious. human figure|portfolio|Chicago|Taller Mexicano de Grabado|hand|symbols|male nude,1990,,,"NMMA Permanent Collection, 1991.1 B, Gift of the Taller Mexicano de Grabado",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
Crepúsculo II  de la carpeta El canto del papel,Dusk II,Jesus Gerardo de La Barrera,https://nationalmuseumofmexicanart.org/img/3d03f17b-fabd-460f-9abe-ba55137eda6b/1991.1E_web.png,https://nationalmuseumofmexicanart.org/artworks/crepúsculo-ii-de-la-carpeta-el-canto-del-papel,"Etching and aquatint, 17/100 -  aguafuerte y aguatinta, 17/100. 15 1/4"" x  11 3/8"" (paper size).",,from The Song of Paper portfolio,valley|landscape|textile|Chicago|portfolio|Taller Mexicano de Grabado|Oaxaca|,1990,,,"NMMA Permanent Collection, 1991.1 E, Gift of the Taller Mexicano de Grabado",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
Sin título,Untitled,Nicolás de Jesús,https://nationalmuseumofmexicanart.org/img/70f5335c-d0bb-4e12-a4c8-16f7ad0f8912/1991.1H_web.png,https://nationalmuseumofmexicanart.org/artworks/sin-título-de-la-carpeta-el-canto-del-papel,"Etching and aquatint, 17/100 -  aguafuerte y aguatinta, 17/100. 11 3/8"" x 15 1/8"" (paper size).",de la carpeta El canto del papel,from The Song of Paper portfolio,Day of the Dead|war|violence|death|soldiers|moon|night|darkness,1990,,,"NMMA Permanent Collection, 1991.1 H, Gift of the Taller Mexicano de Grabado",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
Bienvenidos a los Tostados Unidos,Welcome to the Toasted States,José Antonio Aguirre,https://nationalmuseumofmexicanart.org/img/7d4abff0-c8f8-4407-9c23-6e08d0ded660/1991.35A_web.png,https://nationalmuseumofmexicanart.org/artworks/bienvenidos-a-los-tostados-unidos-from-the-new-immigration-portfolio,"Etching, 52/100 -  aguafuerte, 52/100. 14 3/4"" x 21 3/4"" (paper size).",from The New Immigration portfolio,de la carpeta La Nueva Inmigración,SHG|Self Help Graphics|Immigration|Border|poverty|Statue of Liberty|buildings|city|California|Los Angeles|Chicano|cityscape|urban landscape|architecture|New York|urbanism|drunk,1988,,,"NMMA Permanent Collection, 1991.35 A, Published at Self Help Graphics & Art",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
Homenaje a Frida Kahlo II,Homage to Frida Kahlo II,Yreina D. Cervántez,https://nationalmuseumofmexicanart.org/img/96a49545-b9e5-4c9e-a46b-0f30f541e72a/1991.54_web.png,https://nationalmuseumofmexicanart.org/artworks/homenaje-a-frida-kahlo-ii,"Serigraph, N.N. -  serigrafía,  S.N. 22 1/4"" X 17 1/16"" (paper size).",,,Frida|Kahlo|Virgin|jaguar|flora|fauna|female|femininity|reflection|identity|birth|parade|reproduction|woman artist| Self Help Graphics|nude|sexuality|,1978,,,"NMMA Permanent Collection, 1991.54, Published at Self Help Graphics & Art",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
Untitled,Sin titulo,Emmanuel C. Montoya,https://nationalmuseumofmexicanart.org/img/de48bfd2-31fa-4456-83ed-05b0adb927d8/1990.50_web.png,https://nationalmuseumofmexicanart.org/artworks/untitled-373,"Linocut, ed. 25 -  linograbado, ed. 25. 17 1/2"" x 11 1/2"" (paper size).",,,dance|medieval|fauna|ballerina|moon|night,1987,,,"NMMA Permanent Collection, 1990.50",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
New World Order,La nueva orden del mundo,Guillermo Gómez-Peña,https://nationalmuseumofmexicanart.org/img/fdc90b3d-dbec-4919-aa14-0d4ea142d387/1993.78_1_web.png,https://nationalmuseumofmexicanart.org/artworks/new-world-order,"Glass bottle and mixed media / botella de vidrio y técnica mixta. 4"" x 10 1/2"" x 3"".",,,1492-1992|contemporary|political|politics|new world order|bottle|boat|ship|travel|transportation|water,1992,,,"NMMA Permanent Collection, 1993.78",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
Gesticulador,Gesticulator,Alejandro Romero,https://nationalmuseumofmexicanart.org/img/aca680ba-90bc-4fce-b625-6ffb33ef74de/1990.49_web.png,https://nationalmuseumofmexicanart.org/artworks/gesticulador,"Etching and aquatint, 22/50 - aguafuerte y aguatinta, 22/50. 22 1/4"" x 15"" (paper size).",,,gesture|people|Chicago artist|Chicago|city landscape|cityscape|urbanism|urban landscape|urban jungle,1988,,,"NMMA Permanent Collection, 1990.49, Gift of the artist",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
El viaje nocturno,The Nocturnal Voyage,Arnulfo Mendoza Ruiz,https://nationalmuseumofmexicanart.org/img/26d85d23-a1b2-4c53-bf72-ee92b8709478/1990.20_web.png,https://nationalmuseumofmexicanart.org/artworks/el-viaje-nocturno,"Etching and aquatint, 18/50 -  aguafuerte y aguatinta, 18/50. 18 1/4"" x 22"" (paper size).",,,Interior|woman|family|rest,1989,,,"NMMA Permanent Collection, 1990.20, Gift of the artist",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
