Title,Alternative Title,Creator,Image,Weblog,Description,Subject,Date,Type,Format,Source,Language,Contributor,Annotates,Access Rights
Untitled (printed from Miners / Bolivia block),,Carlos Alfredo Cortéz,https://nationalmuseumofmexicanart.org/img/97f11d95-a767-41a8-98a3-b1d56ad00344/1990.8_web.png,https://nationalmuseumofmexicanart.org/artworks/untitled-printed-from-miners-bolivia-block,Untitled (printed from Miners / Bolivia block)   (Sin título [impreso del bloque Mineros / Bolivia]),,1988,"woodcut, N.N. / xilografía, S.N.",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Lágrimas entre sollozos (de la carpeta El canto del papel),,Tomás Feliciano Castro Bringas,https://nationalmuseumofmexicanart.org/img/8ae30510-c9a3-499f-aadb-90fbda61a6cc/1991.1B_web.png,https://nationalmuseumofmexicanart.org/artworks/lágrimas-entre-sollozos-de-la-carpeta-el-canto-del-papel,"Tears Between Sighs from ""The Song of Paper"" portfolio",,1990,"etching and aquatint, 17/100 aguafuerte y aguatinta,17/100",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Bienvenidos a los Tostados Unidos (from The New Immigration portfolio),,José Antonio Aguirre López,https://nationalmuseumofmexicanart.org/img/7d4abff0-c8f8-4407-9c23-6e08d0ded660/1991.35A_web.png,https://nationalmuseumofmexicanart.org/artworks/bienvenidos-a-los-tostados-unidos-from-the-new-immigration-portfolio,"Welcome to the Toasted States (de la carpeta de 10 aguafuertes ""La Nueva Inmigración"")",,1988,"etching, 52/100 / aguafuerte, 52/100",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Homenaje a Frida Kahlo II,,Yreina D. Cervántez,https://nationalmuseumofmexicanart.org/img/96a49545-b9e5-4c9e-a46b-0f30f541e72a/1991.54_web.png,https://nationalmuseumofmexicanart.org/artworks/homenaje-a-frida-kahlo-ii,Homage to Frida Kahlo II,,1978,"serigraph, N.N. / serigrafía, S.N.",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Untitled,,Emmanuel Caterino Montoya,https://nationalmuseumofmexicanart.org/img/de48bfd2-31fa-4456-83ed-05b0adb927d8/1990.50_web.png,https://nationalmuseumofmexicanart.org/artworks/untitled-373,Sin titulo (pescados),,1987,"linocut, ed. 25 / grabado en linóleo, ed. 25",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
New World Order,,Guillermo Gómez-Peña,https://nationalmuseumofmexicanart.org/img/fdc90b3d-dbec-4919-aa14-0d4ea142d387/1993.78_1_web.png,https://nationalmuseumofmexicanart.org/artworks/new-world-order,La nueva orden del mundo,,1992,glass bottle and mixed media / botella de vidrio y técnica mixta,,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Gesticulador,,Alejandro Romero,https://nationalmuseumofmexicanart.org/img/aca680ba-90bc-4fce-b625-6ffb33ef74de/1990.49_web.png,https://nationalmuseumofmexicanart.org/artworks/gesticulador,Gesticulator,,1988,"etching and aquatint, 22/50 / aguafuerte y aguatinta, 22/50",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
El viaje nocturno,,Arnulfo Mendoza Ruiz,https://nationalmuseumofmexicanart.org/img/26d85d23-a1b2-4c53-bf72-ee92b8709478/1990.20_web.png,https://nationalmuseumofmexicanart.org/artworks/el-viaje-nocturno,The Nocturnal Voyage,,1989,"etching and aquatint, 18/50 / aguafuerte y aguatinta, 18/50",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Javier H.,,César Augusto Martínez,https://nationalmuseumofmexicanart.org/img/decef500-6b39-4c3e-8edd-9529885a0604/1997.33_web.png,https://nationalmuseumofmexicanart.org/artworks/javier-h,Javier H.,,1978,acrylic on canvas / acrílico sobre lienzo,,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Adelaido Cruzas,,Pablo Helguera,https://nationalmuseumofmexicanart.org/img/3b8d1b39-908b-4b1a-ba35-fe89caca6303/1998.12_web.png,https://nationalmuseumofmexicanart.org/artworks/adelaido-cruzas,Adelaido Cruzas,,1996,acrylic on unstretched canvas with brass grommets / acrílico sobre lienzo sin tensar con ojales de latón,,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
