constituentId,lastName,firstName,displayName,searchBeginDate,searchEndDate,displayDate,code,nationality,constituentType,birthPlace,deathPlace,luceArtistBiography,artworkConstituentRelationship,akaNames,deathDate,birthDate
115,Apodaca,Joe Reyes,Joe Reyes Apodaca,1942,2042,"born Tucson, AZ 1942",Verified,American,Individual,"Tucson, Arizona, United States",,"<p>Joe Apodaca began making jewelry while still in high school. He remembers thinking “Gosh, this is exactly what I want to do. I want to spend my life doing this.” <i>Lapidary Journal</i>, November 1999

With his wife, Linda, a native Californian, Joe Apodaca has forged an influential career as a teacher and prolific studio jeweler based in the Pacific Northwest. He and Linda collaborate on jewelry and sculptures made of precious metals, steel, and concrete. Apodaca established the jewelry program at the Oregon College of Arts and Crafts, leading the students there in workshops until he was ready to devote himself full-time to his studio work.</p>",Artist,Joe Reyes Apodaca Jr.,,1942-3-18
129,Archuleta,Felipe,Felipe Archuleta,1910,1991,"born Santa Cruz, NM 1910-died Tesuque, NM 1991",Verified,American,Individual,"Santa Cruz, New Mexico, United States","Santa Cruz, New Mexico, United States","<p>
Felipe Archuleta trained as a carpenter and in 1943 joined the United Brotherhood of Carpenters and Joiners of America. He felt the union didn’t give him enough work to support his wife and seven children, however, so he asked God to give him a talent. He started carving a few days later and soon developed a distinctive range of animals with exaggerated body proportions, fierce faces, and sharp claws. (Chuck and Jan Rosenak<i>, Museum of American Folk Art Encyclopedia</i>, 1990)</p>",Artist,Felipe Benito Archuleta,1991-1-1,1910-8-23
130,Arenal,Luis,Luis Arenal,1907,2007,"Mexican, born Mexico City, Mexico 1907",Provisional,Mexican,Individual,"Mexico City, Mexico",,,Artist,,,1907
148,Arroyo Hondo Painter,,Arroyo Hondo Painter,1775,1890,active NM ca. 1825-1840,Provisional,American,Individual,,,<p>The Arroyo Hondo Painter was named for a large altar screen he completed for the church of Nuestra Señora de los Dolores de Arroyo Hondo in New Mexico. He created devotional images of religious figures and often decorated his work with patterns of tiny dots and dashes.</p>,Artist,,,
235,Barela,Patrociño,Patrociño Barela,1900,1964,"born Bisbee, AZ ca. 1900-died Canon, NM 1964",Verified,American,Individual,"Bisbee, Arizona, United States","Bisbee, Arizona, United States","<p>Patrociño Barela ran away from Taos, New Mexico, when he was twelve. He wandered from state to state for the next twenty years, working a wide variety of odd jobs and carving whenever he had the chance. In 1930 a friend asked him to fix a broken carving of a santo (saint) and Barela enjoyed it so much that he started making his own religious images. During the New Deal years, he worked for the Works Progress Administration “[hauling] dirt and gravel” until someone noticed his carvings and asked him to become a craftsman instead. Barela created sculptures based on current events as well as stories from the Bible. (Patrociño Barela, Oral History, Archives of American Art, Smithsonian Institution)</p>",Artist,Patrocino Barela,1964-10-24,
781,Catlett,Elizabeth,Elizabeth Catlett,1915,2012,"born Washington, DC 1915-died Cuernavaca, Mexico 2012",Verified,American,Individual,"Washington, District of Columbia, United States","Washington, District of Columbia, United States",,Artist,Elizabeth Catlett-Mora,2012-4-2,1915-4-15
801,Cervántez,Pedro,Pedro Cervántez,1914,1987,"born Willcox, AZ 1914-died Clovis, NM 1987",Verified,American,Individual,"Willcox, Arizona, United States","Willcox, Arizona, United States","<p>Pedro Cervántez hit the art scene at the age of twenty-three when the Museum of Modern Art included him in a 1938 show. MoMA's curators launched Cervántez's career as an unknown painter of ""native ability"" who ""never wavered in his determination to paint."" (Miller et al., <i>Masters of Popular Painting</i>, 1938) Cervántez worked for the Federal Art Project in New Mexico and studied at Eastern New Mexico University. Two years of military duty exposed him to European art and inspired him to study art seriously when he returned to Santa Fe in 1949. (Quirarte, <i>Mexican American Artists</i>, 1973)</p>",Artist,Pedro Cervantez,1987-7-3,1914-5-19
834,Charlot,Jean,Jean Charlot,1898,1979,"born Paris, France 1898-died Honolulu, HI 1979",Verified,American,Individual,"Paris, France","Paris, France",,Artist,Louis Henri Jean Charlot,1979-3-20,1898-2-8
844,Chávez,Edward,Edward Chávez,1917,1995,"born Wagonmound, NM 1917-died Woodstock, NY 1995",Verified,American,Individual,"Wagonmound, New Mexico, United States","Wagonmound, New Mexico, United States",,Artist,Edward Arcenio Chavez,1995-1-11,1917-3-14
845,Chavez,Manuel,Manuel Chavez,1915,2015,"born Cochiti Pueblo, NM 1915",Verified,American,Individual,"Cochiti Pueblo, New Mexico, United States",,,Artist,Bob Chavez,,1915
